Year,JF,MAM,JJAS,OND,Annual
1891,0,0,0,1,1
1892,0,1,1,0,2
1893,0,0,0,1,1
1894,0,0,0,1,1
1895,0,0,1,0,1
1896,0,1,0,0,1
1897,0,0,1,0,1
1898,0,1,0,0,1
1899,0,0,0,0,0
1900,0,0,0,0,0
1901,0,1,0,0,1
1902,0,1,1,3,5
1903,0,1,2,0,3
1904,0,0,0,0,0
1905,0,0,0,1,1
1906,0,0,0,1,1
1907,0,0,2,1,3
1908,0,0,0,1,1
1909,0,0,0,0,0
1910,0,0,0,0,0
1911,0,1,0,0,1
1912,0,0,0,1,1
1913,0,0,0,0,0
1914,0,0,0,0,0
1915,0,0,0,0,0
1916,0,1,0,0,1
1917,0,0,1,1,2
1918,0,0,0,0,0
1919,0,1,0,0,1
1920,0,0,1,1,2
1921,0,0,0,0,0
1922,0,1,0,0,1
1923,0,0,0,0,0
1924,0,0,0,0,0
1925,0,0,2,0,2
1926,0,0,1,0,1
1927,0,1,0,1,2
1928,0,0,0,1,1
1929,0,0,1,0,1
1930,0,0,2,1,3
1931,0,0,0,0,0
1932,0,2,0,1,3
1933,0,1,0,0,1
1934,0,0,1,1,2
1935,1,0,1,0,2
1936,0,0,0,1,1
1937,0,0,1,0,1
1938,0,1,0,1,2
1939,0,0,0,2,2
1940,0,0,0,2,2
1941,0,1,0,1,2
1942,0,1,0,0,1
1943,0,0,0,1,1
1944,0,0,1,0,1
1945,0,0,0,1,1
1946,0,0,1,0,1
1947,0,1,1,0,2
1948,0,0,2,3,5
1949,0,1,0,0,1
1950,0,0,0,0,0
1951,0,1,1,1,3
1952,0,0,0,1,1
1953,0,0,0,0,0
1954,0,1,1,0,2
1955,0,0,0,0,0
1956,0,0,1,1,2
1957,0,1,0,2,3
1958,0,0,0,0,0
1959,0,1,2,1,4
1960,0,1,1,2,4
1961,0,1,2,0,3
1962,0,1,1,0,2
1963,0,1,0,3,4
1964,0,0,2,1,3
1965,0,0,0,1,1
1966,0,0,1,1,2
1967,0,0,0,0,0
1968,0,0,0,0,0
1969,0,0,1,0,1
1970,0,1,0,2,3
1971,0,0,1,2,3
1972,0,0,2,2,4
1973,0,1,2,1,4
1974,0,2,1,1,4
1975,0,2,1,2,5
1976,0,1,0,2,3
1977,0,0,1,3,4
1978,0,0,1,0,1
1979,0,0,2,1,3
1980,0,0,1,2,3
1981,0,0,0,1,1
1982,0,0,1,4,5
1983,0,0,1,0,1
1984,0,0,1,1,2
1985,0,1,0,1,2
1986,0,0,0,1,1
1987,0,0,0,0,0
1988,0,0,1,0,1
1989,0,0,1,0,1
1990,0,0,0,1,1
1991,0,0,0,0,0
1992,0,0,1,3,4
1993,0,0,0,1,1
1994,0,0,1,1,2
1995,0,0,0,1,1
1996,0,0,1,1,2
1997,0,0,0,1,1
1998,0,1,2,3,6
1999,0,1,0,0,1
2000,0,0,0,0,0
2001,0,1,1,1,3
2002,0,1,0,0,1
2003,0,0,0,1,1
2004,0,1,2,2,5
2005,0,0,2,0,2
2006,0,0,1,0,1
2007,0,0,2,1,3
2008,0,0,1,1,2
2009,0,0,2,1,3
2010,0,2,0,0,2
2011,0,0,1,3,4
2012,0,0,0,2,2
2013,0,0,0,1,1
2014,0,0,1,1,2
2015,0,0,2,3,5
Total ,1,42,74,99,216
